18 Pa.C.S. §  ,DESCRIPTION,STATUTORY CLASS,§  303.3 OFFENSE GRAVITY SCORE,§  303.7
6111(a)(2),Firearms-sale/transfer: deliver w/o crim,F-3,8,1
,history check (sell to ineligible),,,
6111(a)(2),Firearms-sale/transfer: deliver w/o crim,F-3,5,1
,history check (unlawful crim history request),,,
6111(b)(1),Firearms-sale/transfer: full app/record of sale,M-2,2,m
6111(b)(1),Firearms-sale/transfer: full app/record of sale (2nd/subsq off),F-2,9,2
6111(b)(1),Firearms-sale/transfer: full app/record of sale (false statements),F-3,8,1
6111(b)(1),Firearms-sale/transfer: full app/record of sale (inappropriate use of crim history),F-3,5,1
6111(b)(1),Firearms-sale/transfer: full app/record of sale (sell to ineligible),F-3,8,1
6111(b)(1),Firearms-sale/transfer: full app/record of sale (unlawful crim history request),F-3,5,1
6111(b)(1.2),Firearms-sale/transfer: transmit fee,M-2,2,m
6111(b)(1.2),Firearms-sale/transfer: transmit fee (2nd/,F-2,9,2
,subsq off),,,
6111(b)(1.2),Firearms-sale/transfer: transmit fee (false statements),F-3,8,1
6111(b)(1.2),Firearms-sale/transfer: transmit fee (inappropriate use of crim history),F-3,5,1
6111(b)(1.2),Firearms-sale/transfer: transmit fee (sell to ineligible),F-3,8,1
6111(b)(1.2),Firearms-sale/transfer: transmit fee (unlawful crim history request),F-3,5,1
6111(c),Firearms-sale/transfer: thru licensed dealer,M-2,2,m
6111(c),Firearms-sale/transfer: thru licensed dealer (2nd/subsq off),F-2,9,2
6111(c),Firearms-sale/transfer: thru licensed dealer (false statements),F-3,8,1
6111(c),Firearms-sale/transfer: thru licensed dealer (inappropriate use of crim history),F-3,5,1
6111(c),Firearms-sale/transfer: thru licensed dealer (sell to ineligible),F-3,8,1
6111(c),Firearms-sale/transfer: thru licensed dealer (unlawful crim history request),F-3,5,1
6111(g)(2),Firearms-sale/transfer: to unqualified or ineligible person,F-3,8,1
6111(g)(2),Firearms-sale/transfer: to unqualified or ineligible person (2nd/subsq off),F-2,9,2
6111(g)(4),"Firearms-sale/transfer: false statements, materials, ID",F-3,8,1
6111(g)(4),"Firearms-sale/transfer: false statements, materials, ID (2nd/subsq off)",F-2,9,2
6112,Firearms-dealer to be licensed,M-1,3,1
6113(a)(1),Firearms-dealer license: sell in undesignated area,M-1,3,1
6113(a)(2),Firearms-dealer license: fail to display license,M-1,3,1
6113(a)(3),Firearms-dealer license: violation of act,M-1,3,1
6113(a)(4),Firearms-dealer license: w/o knowledge of purchaser,M-1,3,1
6113(a)(5),Firearms-dealer license: fail to keep record,M-1,3,1
6113(a)(6),Firearms-dealer license: display firearm in public view,M-1,3,1
6115(a),Firearms-lending prohibited,M-1,3,1
6116,Firearms-give false info/identity for purchase,M-1,3,1
6117(a),Firearms-alter mfr. number/ID,F-2,7,2
6121(a),Firearms-certain bullets prohibited,F-3,5,1
6122,Firearms-proof of license,M-1,3,1
6161(a),Carrying explosives on conveyances,M-2,3,m
6162(a),Shipping explosives,M-3,3,m
6301(a)(1)(i),Corruption of minors,M-1,4,m
6301(a)(1)(ii),Corruption of minors-course of conduct (of a sexual nature),F-3,6,1
6301(a)(2),Corruption of minors-encourage 2nd truancy in one year,M-3,1,m
6302(a),Sale/lease of weapons/explosives (to minor),M-1,4,m
6303(a),Sale of starter pistols-to minors,M-1,4,m
6304(a)(1),Sale/use of air rifles-sale or transfer (to minor),M-3,1,m
6307(a),Misrepresentation of age to secure alcohol (2nd/subsq off),M-3,1,m
6309(a),Representing that minor is of age,M-3,1,m
6310(a),Inducement of minors to buy liquor/beer,M-3,1,m
6310.1(a),Selling/furnishing liquor/beer to minors,M-3,1,m
6310.2(a),Manufacture/sale of false ID card,M-2,2,m
6310.3(a),Carrying a false ID card (2nd/subsq off),M-3,1,m
6311(a),Tattooing a minor (1st off),M-3,1,m
6311(a),Tattooing a minor (2nd/subsq off),M-2,2,m
6311(b),Body piercing a minor (1st off),M-3,1,m
6311(b),Body piercing a minor (2nd/subsq off),M-2,2,m
6312(b)*,Sexual abuse of children-photographing/etc. sexual acts (13-‹18 yrs),F-2,8,2
6312(b)*,Sexual abuse of children-photographing/etc. sexual acts (‹13 yrs or determination of prepubescence),F-2,9,2
6312(b)*,Sexual abuse of children-photographing/etc. sexual acts: when indecent contact depicted (13-‹18 yrs),F-1,10,3
6312(b)*,Sexual abuse of children-photographing/etc. sexual acts: when indecent contact depicted (‹13 yrs or determination of prepubescence),F-1,10,3
6312(c)*,Sexual abuse of children-dissemination (13-‹18 yrs) (1st off),F-3,6,1
6312(c)*,Sexual abuse of children-dissemination (13-‹18 yrs) (2nd/subsq off),F-2,8,2
6312(c)*,Sexual abuse of children-dissemination (‹13 yrs or determination of prepubescence) (1st off),F-3,7,1
6312(c)*,Sexual abuse of children-dissemination (‹13 yrs or determination of prepubescence),F-2,9,2
,(2nd/subsq off),,,
6312(c)*,Sexual abuse of children-dissemination: when indecent contact depicted (13-‹18 yrs),F-2,9,2
,(1st offense),,,
6312(c)*,Sexual abuse of children-dissemination: when indecent contact depicted (13-‹18 yrs),F-2,10,2
,(2nd/subsq offense),,,
6312(c)*,Sexual abuse of children-dissemination: when indecent contact depicted (‹13 yrs or determination of prepubescence) (1st offense),F-2,9,2
6312(c)*,Sexual abuse of children-dissemination: indecent contact depicted (‹13 yrs or determination of prepubescence) (2nd/subsq offense),F-2,10,2
6312(d)*,Sexual abuse of children-possess child pornography (13-‹18 yrs) (1st off),F-3,6,1
6312(d)*,Sexual abuse of children-possess child pornography (13-‹18 yrs) (2nd/subsq off),F-2,8,2
6312(d)*,Sexual abuse of children-possess child pornography (‹13 yrs or determination of prepubescence) (1st off),F-3,7,1
6312(d)*,Sexual abuse of children-possess child pornography (‹13 yrs or determination of prepubescence) (2nd/subsq off),F-2,9,2
6312(d)*,Sexual abuse of children-possess child pornography: when indecent contact depicted (13-‹18) (1st offense),F-2,9,2
6312(d)*,Sexual abuse of children-possess child pornography: when indecent contact depicted (13-‹18) (2nd/subsq offense),F-2,10,2
6312(d)*,Sexual abuse of children-possess child pornography: when indecent contact depicted (‹13 yrs or determination of prepubescence) (1st offense),F-2,9,2
6312(d)*,Sexual abuse of children-possess child pornography: when indecent contact depicted (‹13 yrs or determination of prepubescence) (2nd/subsq offense),F-2,10,2
6318(a)(1),Unlaw. contact w/minor-sexual offenses (underlying offense=F-3 or greater),Same as underlying offense,"same as underlying offense, or OGS 6, whichever is greater","same as underlying offense, or 1, whichever is greater"
6318(a)(1),Unlaw. contact w/minor-sexual offenses (underlying offense ‹F-3),F-3,6,1
6318(a)(2),Unlaw. contact w/minor-open lewdness (underlying offense=F-3 or greater),Same as underlying offense,"same as underlying offense, or OGS 6, whichever is greater","same as underlying offense, or 1, whichever is greater"
6318(a)(2),Unlaw. contact w/minor-open lewdness (underlying offense ‹F-3),F-3,6,1
6318(a)(3),Unlaw. contact w/minor-prostitution (underlying offense=F-3 or greater),Same as underlying offense,"same as underlying offense, or OGS 6, whichever is greater","same as underlying offense, or 1, whichever is greater"
6318(a)(3),Unlaw. contact w/minor-prostitution (underlying offense ‹F-3),F-3,6,1
6318(a)(4),Unlaw. contact w/minor-sexual materials (underlying offense=F-3 or greater),Same as underlying offense,"same as underlying offense, or OGS 6, whichever is greater","same as underlying offense, or 1, whichever is greater"
6318(a)(4),Unlaw. contact w/minor-sexual materials (underlying offense ‹F-3),F-3,6,1
6318(a)(5),Unlaw. contact w/minor-sexual abuse (underlying offense=F-3 or greater),Same as underlying offense,"same as underlying offense, or OGS 6, whichever is greater","same as underlying offense, or 1, whichever is greater"
6318(a)(5),Unlaw. contact w/minor-sexual abuse (underlying offense ‹F-3),F-3,6,1
6318(a)(6),Unlaw. contact w/minor-sexual exploitation (underlying offense=F-3 or greater),Same as underlying offense,"same as underlying offense, or OGS 6, whichever is greater","same as underlying offense, or 1, whichever is greater"
6318(a)(6),Unlaw. contact w/minor-sexual exploitation (underlying offense ‹F-3),F-3,6,1
6319(a),Solicitation of minors to traffic drugs-general,F-2,9,2
6319(b),Solicitation of minors to traffic drugs-drug-free school zone,F-1,10,3
6320,Sexual exploitation of children,F-2,9,2
6321(b),"Transmission, sexually explicit image by minor-of another minor (victim ›=12 yrs)",M-3,1,m
6321(c)(1),"Transmission, sexually explicit image by minor-w/ intent to harass: makes depiction of minor w/ nudity w/o knowledge and consent",M-2,3,m
6321(c)(2),"Transmission, sexually explicit image by minor-w/ intent to harass: transmits depiction of minor w/ nudity w/o knowledge and consent",M-2,3,m
6501(a)(1),Scattering rubbish-upon land/stream (2nd/subsq off),M-3,1,m
6501(a)(2),Scattering rubbish-interferes w/ contents of receptacle (2nd/subsq off),M-3,1,m
6501(a)(3),Scattering rubbish-deposit trash on street (2nd/subsq off),M-1,3,m
6501(a)(3),Scattering rubbish-deposit trash on street (1st off),M-2,2,m
6504,Public nuisances,M-2,2,m
6703,Dealing in military decorations,M-3,1,m
6707,False registration of domestic animals,M-3,1,m
6709(1),Use of union labels-insignia,M-3,1,m
6709(2),Use of union labels-nonunion product,M-3,1,m
6709(3),Use of union labels-not authorized by union,M-3,1,m
6901,Extension of water line-w/o permit,M-3,1,m
6910(a),Unauthorized sale of tickets,M-3,1,m
7102,Administer drugs to race horses,M-1,3,m
7103(a),Horse racing,M-3,1,m
7104(a),Fortune telling-for gain or lucre,M-3,1,m
7107(a)(1),Unlawf. action by athlete agent-prior to eligibility expired,M-1,3,m
7107(a)(2),Unlawf. action by athlete agent-give prior to eligibility expired,M-1,3,m
7107(a)(3),Unlawf. action by athlete agent-agreement w/ univ. employee for referral,M-1,3,m
7302(a),Sale of solidified alcohol,M-2,2,m
7302(b),Labeling of solidified alcohol,M-1,3,m
7303(a),Sale/illegal use of certain solvents-smell/inhale toxic subst,M-3,1,m
7303(c),Sale/illegal use of certain solvents-possess solvent for toxic vapors,M-3,1,m
7303(d),Sale/illegal use of certain solvents-sell solvent for toxic vapors,M-3,1,m
7306(a),Incendiary devices,M-1,3,m
7307,Out-of-state convict made goods-sell/,M-2,2,m
,exchange,,,
7308(a),Unlawful advertising of insurance business,M-2,2,m
7309(a),Unlawful coercion in contracting insurance,M-1,3,m
7310(a),Furnishing free insurance as inducement for purchase,M-3,1,m
7311(a),Unlawful collection agency practices-assignment of claims,M-3,1,m
7311(b),Unlawful collection agency practices-appearance for creditor,M-3,1,m
7311(b.1),Unlawful collection agency practices-unfair/deceptive methods,M-3,1,m
7311(c),Unlawful collection agency practices-unlaw. furnish legal services,M-3,1,m
7311(d),Unlawful collection agency practices-unlaw. service for debtor,M-3,1,m
7311(e),Unlawful collection agency practices-unlaw. solicit job for attorney,M-3,1,m
7311(f),Unlawful collection agency practices-unlaw. coercion/intimidation,M-3,1,m
7312(a),Debt pooling,M-3,1,m
7313(a),"Buying/exchanging food stamps (›=$1,000)",F-3,5,1
7313(a),"Buying/exchanging food stamps (‹$1,000)",M-1,3,m
7314(a),"Fraudulent traffic in food orders (›=$1,000)",F-3,5,1
7314(a),"Fraudulent traffic in food orders (‹$1,000)",M-1,3,m
7316(a),Keeping bucket-shop,M-3,1,m
7317(a),Accessories in conduct of bucket-shop,M-3,1,m
7318(a),Maintaining premises of bucket-shop,M-3,1,m
7319(b),Bucket-shop contracts,M-3,1,m
7321(a),Lie detector tests-require for employment,M-2,2,m
7322,Demanding property/money to secure employment,M-3,1,m
7323,Discrimination on account of U.S. armed forces uniform,M-2,2,m
7324(b),Unlaw. sale of dissertations/etc.-sale of assistance,M-3,1,m
7324(c),Unlaw. sale of dissertations/etc.-sale of assignment,M-3,1,m
7324(d),Unlaw. sale of dissertations/etc.-distribution for sale,M-3,1,m
7326(a),Disclosure of confidential tax information,M-3,1,m
7328(a),Operation of unauthorized bottle club,M-3,1,m
7503(a),Architects/engineers-interest in public works contracts,M-3,1,m
7504(a),Appointment of special police,M-3,1,m
7507,Breach of privacy-use stress monitor w/o consent,M-2,2,m
7507.1(a)(1),Invasion of privacy-view/photograph person w/o consent (single violation),M-3,2,m
7507.1(a)(1),Invasion of privacy-view/photograph person w/o consent (›1 violation),M-2,3,m
7507.1(a)(2),Invasion of privacy-view/photograph intimate parts w/o consent (single violation),M-3,2,m
7507.1(a)(2),Invasion of privacy-view/photograph intimate parts w/o consent (›1 violation),M-2,3,m
7507.1(a)(3),Invasion of privacy-transfer image (single violation),M-3,2,m
7507.1(a)(3),Invasion of privacy-transfer image (›1 violation),M-2,3,m
7508.2(a),Operate meth lab-cause chemical reaction,F-2,8,2
7508.2(a),Operate meth lab-cause chemical reaction (w/in 1000 ft of school),F-1,9,3
7509(a),Furnishing drug-free urine: unlaw. sale,M-3,1,m
7509(b),Furnishing drug-free urine: unlaw. use,M-3,1,m
7510(a),Municipal housing code avoidance (4th off),M-2,2,m
7510(a),Municipal housing code avoidance (5th/subsq off),M-1,3,m
7512(a),Criminal use of communication facility,F-3,5,1
7515(a)(1),Contingent compensation-compensate other,M-3,1,m
7515(a)(2),Contingent compensation-agree to lobby,M-3,1,m
7516(a),Greyhound racing-for remuneration,M-1,3,m
7517(b),Commemorative service demonstration activities,M-3,1,m
7611(a)(1),Unlawful use of computer-access w/ intent to disrupt function,F-3,7,1
7611(a)(2),Unlawful use of computer-access/interfere/,F-3,7,1
,damage/destroy,,,
7611(a)(3),Unlawful use of computer-provide password/ID code/PIN/etc.,F-3,7,1
7612(a),Disruption of computer service,F-3,7,1
7613(a),Computer theft,F-3,7,1
7614(a),Unlawful duplication (›$2500),F-2,7,2
7614(a),Unlawful duplication (‹=$2500),F-3,5,1
7615(a)(1),Computer trespass-remove data/programs,F-3,7,1
7615(a)(2),Computer trespass-cause malfunction,F-3,7,1
7615(a)(3),Computer trespass-alter/erase data,F-3,7,1
7615(a)(4),Computer trespass-transfer funds,F-3,7,1
7615(a)(5),Computer trespass-cause physical injury to property,F-3,7,1
7616(a)(1),Distribution of a computer virus-prevent/disrupt operation,F-3,7,1
7616(a)(2),Distribution of a computer virus-degrade/destroy performance,F-3,7,1
7622,Duty of internet provider-disable child porn access (1st off),M-3,1,m
7622,Duty of internet provider-disable child porn access (2nd off),M-2,2,m
7622,Internet service provider-disable child porn access (3rd/subsq off),F-3,5,1
7641(a),Computer-assisted remote harvesting of animals,M-3,1,m
7661(a)(1),Unlaw. transmis. email-forge/falsify,M-3,1,m
7661(a)(1),Unlaw. transmis. email-forge/falsify (malicious damage; ›=$2500),F-3,7,1
7661(a)(1),Unlaw. transmis. email-forge/falsify (reckless damage; ›=$2500),M-1,5,m
7661(a)(2)(i),Unlaw. transmis. email-sell software to falsify,M-3,1,m
7661(a)(2)(i),Unlaw. transmis. email-sell software to falsify (malicious damage; ›=$2500),F-3,7,1
7661(a)(2)(i),Unlaw. transmis. email-sell software to falsify (reckless damage; ›=$2500),M-1,5,m
7661(a)(2)(ii),Unlaw. transmis. email-sell software w/ limited purpose,M-3,1,m
7661(a)(2)(ii),Unlaw. transmis. email-sell software w/ limited purpose (malicious damage; ›=$2500),F-3,7,1
7661(a)(2)(ii),Unlaw. transmis. email-sell software w/ limited purpose (reckless damage; ›=$2500),M-1,5,m
7661(a)(2)(iii),Unlaw. transmis. email-sell software known,M-3,1,m
,to falsify,,,
7661(a)(2)(iii),Unlaw. transmis. email-sell software known,F-3,7,1
,to falsify (malicious damage; ›=$2500),,,
7661(a)(2)(iii),Unlaw. transmis. email-sell software known,M-1,5,m
,to falsify (reckless damage; ›=$2500),,,
7702(1),Owning/operating/conducting a chop shop,F-2,7,2
7702(2),Owning/operating/conducting a chop shop-transfer/sell vehicle,F-2,7,2
7703,Altered or illegally obtained property-veh ID num,F-3,5,1
7704,Altered or illegally obtained property-disposition,F-3,5,1
